CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG
12-005355,12.063,0.399,2.53,0.14
12-005365,17.495,4.98,2.53,0
12-005379,20.174,1.757,2.53,0
12-005401,8.413,4.596,2.51,0
12-005419,14.9,0.386,2.51,0
12-005422,17.108,1.548,2.51,0.08
12-005433,13.49,0.717,2.5,0.06
12-005446,16.618,4.32,2.5,0
12-005448,12.083,3.957,2.5,0.31
12-005461,23.187,1.24,2.49,0.17
12-005466,23.316,3.829,2.49,0.06
12-005467,0.63,1.141,2.49,0
12-005478,1.746,1.908,2.48,0.3
12-005511,26.075,0.699,2.47,0.21
12-005534,3.322,2.847,2.47,0.08
12-005588,25.912,1.141,2.45,0.16
12-005590,29.074,2.098,2.45,0.12
12-005598,17.099,0.739,2.44,0.21
12-005599,26.397,3.579,2.44,0.19
12-005601,7.562,3.811,2.44,0
12-005616,20.039,2.886,2.44,0.33
12-005617,9.204,3.453,2.44,0.3
12-005622,19.83,1.261,2.44,0.18
12-005628,24.576,0.194,2.44,0
12-005629,0.335,3.356,2.44,0.1
12-005639,15.618,3.186,2.43,0.2
12-005642,5.997,0.17,2.43,0
12-005643,4.652,3.869,2.43,0
12-005646,17.038,1.081,2.43,0.12
12-005649,6.966,1.756,2.43,0
12-005655,17.52,2.536,2.43,0.16
